time,eta_0,eta_1,eta_2,eta_3,eta_4,eta_5,nu_0,nu_1,nu_2,nu_3,nu_4,nu_5,nu_diff_0,nu_diff_1,nu_diff_2,nu_diff_3,nu_diff_4,nu_diff_5,tau_0,tau_1,tau_2,tau_3,tau_4,tau_5
83.35868191719055,9.315679051,2.481244436,-7.614219754,-0.052551591,-0.039764385,-2.182340949,-0.114892871,-0.215304811,-0.131474441,0.0014342,-0.001737382,0.042105683,-0.002139957,-0.009379513,0.030824854,-0.065271852,0.005335105,0.089175899,-0.346063888,-3.965360165,-3.832654756,2.485425893,-0.972540292,0.49311822
83.45936894416809,9.303814169,2.503051848,-7.626102975,-0.053388311,-0.039449869,-2.177148644,-0.115152824,-0.216041167,-0.127437765,-0.006320803,-0.001004543,0.051823269,-0.002461658,-0.007968348,0.037504194,-0.073866577,0.006730402,0.094775872,-0.118328817,-4.385633826,-2.015330949,2.33587651,-1.116030542,0.669526873
83.55985879898071,9.291814519,2.524832959,-7.637493812,-0.055076417,-0.039219045,-2.171322595,-0.115285843,-0.216699186,-0.123114369,-0.014707357,-0.000721333,0.06065211,-0.001669631,-0.006996633,0.041515027,-0.08086585,0.004001589,0.090234649,0.015751143,-4.918033252,-0.564927422,2.250755954,-1.256501556,0.788760456
83.6618058681488,9.279687377,2.546577935,-7.648391,-0.057655165,-0.038987664,-2.16455443,-0.115385145,-0.217190938,-0.118714293,-0.024053378,-0.001070233,0.067361072,-0.001195998,-0.005541255,0.043255042,-0.089681901,-0.001241819,0.074033124,0.136763009,-5.32804297,0.474885584,2.234820179,-1.392638087,0.865377842
83.76172590255737,9.267209709,2.568675937,-7.658862781,-0.061409945,-0.0387923,-2.157380311,-0.115457323,-0.217314237,-0.114383822,-0.034249781,-0.001550113,0.070498789,-0.000854138,-0.002508547,0.04269543,-0.096879887,-0.003665838,0.043743291,0.266228132,-5.523588358,1.109936328,2.288513005,-1.52435307,0.900201989
83.8632550239563,9.254898036,2.590183194,-7.668740518,-0.066014005,-0.038465152,-2.15060664,-0.115348568,-0.216862658,-0.110346573,-0.044126159,-0.001778724,0.069027781,0.00050504,0.002408487,0.041069375,-0.098198612,-0.002700029,0.00282593,0.404686039,-5.494225641,1.36476396,2.411570618,-1.651678851,0.896283335
83.9638409614563,9.242298226,2.61188942,-7.678243381,-0.071398415,-0.038210821,-2.144055013,-0.114923052,-0.215706748,-0.106708319,-0.051880359,-0.001464086,0.062505553,0.00307172,0.008655267,0.037289216,-0.082674681,0.001349267,-0.04391261,0.887362089,-5.443750641,1.271302199,2.598896396,-1.770353214,0.825560208
84.0638279914856,9.229872425,2.632886987,-7.687218839,-0.07729415,-0.037836893,-2.13863592,-0.114019146,-0.214111932,-0.103663563,-0.055583486,-0.000454774,0.051727705,0.007248855,0.01376029,0.032500061,-0.050724296,0.007469968,-0.088618713,1.141314834,-5.427404787,0.847676116,2.853382681,-1.883963124,0.68883343
84.16415190696716,9.217295173,2.65360209,-7.695837115,-0.08303169,-0.037315406,-2.134620588,-0.112513037,-0.212520349,-0.101312627,-0.054024552,0.001183285,0.038632456,0.01271742,0.015269166,0.026206572,-0.004304746,0.013707401,-0.118252357,1.407467784,-5.433029249,0.095895129,3.177060625,-1.99564328,0.541452643
84.26453399658203,9.204498155,2.674100111,-7.704152458,-0.087980477,-0.036935952,-2.131980841,-0.110567267,-0.211396328,-0.099752604,-0.046727375,0.003019409,0.025707837,0.017435621,0.012448899,0.018782131,0.049788811,0.016965091,-0.125948043,1.609869603,-5.553549174,-0.962049598,3.562295787,-2.10452999,0.409213569
84.36557197570801,9.191342985,2.694451274,-7.712269251,-0.091522344,-0.036293834,-2.13024583,-0.108179914,-0.211309431,-0.099090788,-0.034410911,0.004383109,0.015811088,0.021942156,0.004342948,0.010267349,0.101151889,0.014635424,-0.107061659,1.717447885,-5.810193158,-2.304560389,3.999735555,-2.208492737,0.315630496
84.46642994880676,9.177707339,2.714752845,-7.720325204,-0.093522019,-0.035763772,-2.129245809,-0.105518116,-0.212628164,-0.09936312,-0.018974224,0.004475234,0.011640349,0.025215232,-0.007928247,0.00117388,0.138402377,0.005035501,-0.061313666,1.695655709,-6.189587128,-3.891449043,4.46511834,-2.298945306,0.287821508
84.56663584709167,9.163312491,2.735538477,-7.728526509,-0.094080049,-0.035302306,-2.127872709,-0.103055368,-0.215255419,-0.100499836,-0.003444475,0.002773754,0.01548582,0.024465781,-0.020408653,-0.007448825,0.148097425,-0.010166173,0.007996385,1.533353792,-6.503755399,-5.627050178,4.912167718,-2.357890309,0.347889747
84.67008090019226,9.148715311,2.756084409,-7.736883597,-0.093223823,-0.035067844,-2.12525871,-0.101194712,-0.218865237,-0.102397721,0.008727964,-0.000605112,0.027567382,0.020364325,-0.031391325,-0.015519841,0.1296363,-0.026701911,0.08696985,1.193186884,-6.481133998,-7.392680655,5.288032055,-2.366461989,0.519107237
84.76934480667114,9.133466399,2.77726178,-7.745669158,-0.091725047,-0.035041383,-2.121149222,-0.100281872,-0.222870204,-0.104826774,0.015273473,-0.004855018,0.044416697,0.012373886,-0.036902466,-0.021325924,0.083811051,-0.037176597,0.141723505,0.78495595,-6.300554309,-9.038448917,5.5460661,-2.313347216,0.740896753
84.87002491950989,9.118261488,2.79826507,-7.754771496,-0.090245491,-0.03551432,-2.11512269,-0.10050521,-0.226617713,-0.107594264,0.015976306,-0.008787252,0.062166983,0.002148805,-0.0373033,-0.025770211,0.030063145,-0.038678615,0.166769054,0.497100983,-6.204299894,-10.41980704,5.660646963,-2.197291062,0.92633563
84.96980881690979,9.10296151,2.819446251,-7.764285284,-0.089167791,-0.035873517,-2.107465292,-0.101812312,-0.229470759,-0.110517705,0.012060699,-0.011322564,0.078025213,-0.008505075,-0.031162313,-0.028195152,-0.018390306,-0.029350771,0.161038328,0.285649415,-6.323451506,-11.452861147,5.631821534,-2.02555396,1.006125452
85.07036399841309,9.087678481,2.840723107,-7.774128868,-0.088984686,-0.036246294,-2.098457158,-0.103951161,-0.231045574,-0.113477217,0.005182026,-0.011954189,0.090145177,-0.017523465,-0.020372397,-0.029175127,-0.053667803,-0.013226608,0.133151249,0.117394574,-6.230109376,-12.088579519,5.491215269,-1.823584063,1.0089953
85.17081689834595,9.072493872,2.86196197,-7.784208358,-0.089643244,-0.036534025,-2.0887093,-0.106459924,-0.231079328,-0.116398744,-0.003859254,-0.0104961,0.096948925,-0.022818382,-0.006348001,-0.029203224,-0.079389298,0.006238646,0.087571609,0.003687939,-5.764807478,-12.357142388,5.295983656,-1.625261682,0.938489015
85.27084493637085,9.057625141,2.882946221,-7.794443667,-0.091307902,-0.036472189,-2.078807053,-0.108929499,-0.22877173,-0.119238105,-0.012419007,-0.007349067,0.096998001,-0.024132539,0.01424879,-0.028636499,-0.083735065,0.023900822,0.026615016,-0.021841942,-4.833326712,-12.343037294,5.104378067,-1.464770022,0.78810065
