__time,/xplorer_mini/gnc/auv_status/eta[0],/xplorer_mini/gnc/auv_status/eta[1],/xplorer_mini/gnc/auv_status/eta[2],/xplorer_mini/gnc/auv_status/eta[3],/xplorer_mini/gnc/auv_status/eta[4],/xplorer_mini/gnc/auv_status/eta[5],/xplorer_mini/gnc/auv_status/eta_ddiff[0],/xplorer_mini/gnc/auv_status/eta_ddiff[1],/xplorer_mini/gnc/auv_status/eta_ddiff[2],/xplorer_mini/gnc/auv_status/eta_ddiff[3],/xplorer_mini/gnc/auv_status/eta_ddiff[4],/xplorer_mini/gnc/auv_status/eta_ddiff[5],/xplorer_mini/gnc/auv_status/eta_diff[0],/xplorer_mini/gnc/auv_status/eta_diff[1],/xplorer_mini/gnc/auv_status/eta_diff[2],/xplorer_mini/gnc/auv_status/eta_diff[3],/xplorer_mini/gnc/auv_status/eta_diff[4],/xplorer_mini/gnc/auv_status/eta_diff[5],/xplorer_mini/gnc/auv_status/eta_e[0],/xplorer_mini/gnc/auv_status/eta_e[1],/xplorer_mini/gnc/auv_status/eta_e[2],/xplorer_mini/gnc/auv_status/eta_e[3],/xplorer_mini/gnc/auv_status/eta_e[4],/xplorer_mini/gnc/auv_status/eta_e[5],/xplorer_mini/gnc/auv_status/eta_ref[0],/xplorer_mini/gnc/auv_status/eta_ref[1],/xplorer_mini/gnc/auv_status/eta_ref[2],/xplorer_mini/gnc/auv_status/eta_ref[3],/xplorer_mini/gnc/auv_status/eta_ref[4],/xplorer_mini/gnc/auv_status/eta_ref[5],/xplorer_mini/gnc/auv_status/eta_ref_ddiff[0],/xplorer_mini/gnc/auv_status/eta_ref_ddiff[1],/xplorer_mini/gnc/auv_status/eta_ref_ddiff[2],/xplorer_mini/gnc/auv_status/eta_ref_ddiff[3],/xplorer_mini/gnc/auv_status/eta_ref_ddiff[4],/xplorer_mini/gnc/auv_status/eta_ref_ddiff[5],/xplorer_mini/gnc/auv_status/eta_ref_diff[0],/xplorer_mini/gnc/auv_status/eta_ref_diff[1],/xplorer_mini/gnc/auv_status/eta_ref_diff[2],/xplorer_mini/gnc/auv_status/eta_ref_diff[3],/xplorer_mini/gnc/auv_status/eta_ref_diff[4],/xplorer_mini/gnc/auv_status/eta_ref_diff[5],/xplorer_mini/gnc/auv_status/header/stamp/nanosec,/xplorer_mini/gnc/auv_status/header/stamp/sec,/xplorer_mini/gnc/auv_status/nu[0],/xplorer_mini/gnc/auv_status/nu[1],/xplorer_mini/gnc/auv_status/nu[2],/xplorer_mini/gnc/auv_status/nu[3],/xplorer_mini/gnc/auv_status/nu[4],/xplorer_mini/gnc/auv_status/nu[5],/xplorer_mini/gnc/auv_status/nu_diff[0],/xplorer_mini/gnc/auv_status/nu_diff[1],/xplorer_mini/gnc/auv_status/nu_diff[2],/xplorer_mini/gnc/auv_status/nu_diff[3],/xplorer_mini/gnc/auv_status/nu_diff[4],/xplorer_mini/gnc/auv_status/nu_diff[5],/xplorer_mini/gnc/auv_status/tau[0],/xplorer_mini/gnc/auv_status/tau[1],/xplorer_mini/gnc/auv_status/tau[2],/xplorer_mini/gnc/auv_status/tau[3],/xplorer_mini/gnc/auv_status/tau[4],/xplorer_mini/gnc/auv_status/tau[5],/xplorer_mini/gnc/auv_status/thrust_force[0],/xplorer_mini/gnc/auv_status/thrust_force[1],/xplorer_mini/gnc/auv_status/thrust_force[2],/xplorer_mini/gnc/auv_status/thrust_force[3],/xplorer_mini/gnc/auv_status/thrust_force[4],/xplorer_mini/gnc/auv_status/thrust_force[5],/xplorer_mini/gnc/auv_status/thrust_force[6],/xplorer_mini/gnc/auv_status/thrust_force[7]
1720790243.887576,0.181478936,-1.277571119,-0.749124492,-0.133575003,-0.014106418,0.504893496,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.064774776,-0.254799407,-0.106108340,0.009639152,0.002928469,0.112455711,-0.000178039,0.021656341,-0.017188259,-0.133575003,-0.014106418,0.135384060,0.181656975,-1.299227460,-0.731936233,0.000000000,-0.000000000,0.369509436,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.063898231,-0.240542521,-0.099386693,-0.000000000,0.000000000,0.049767364,542000000.000000000,102.000000000,-0.061915552,-0.244269816,-0.141090967,0.013663347,-0.010618120,0.105825599,-0.041180019,0.069697159,-0.070980851,0.036646433,0.056917809,-0.087905076,-0.251864816,-0.384140219,-21.278447840,5.336762141,0.763665156,0.120343815,0.603476444,-0.518064600,2.239519594,-11.573332991,0.463161839,-12.407796282,-0.279342867,0.073917740
1720790243.988146,0.188094329,-1.303058039,-0.760617135,-0.131535099,-0.013686171,0.514665122,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.064832193,-0.251350063,-0.110703581,0.016891088,0.003762588,0.100796890,-0.000125644,0.019974981,-0.018823451,-0.131535099,-0.013686171,0.140175336,0.188219973,-1.323033020,-0.741793684,0.000000000,-0.000000000,0.374489786,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.064209652,-0.235534248,-0.097465179,-0.000000000,0.000000000,0.049109082,642000000.000000000,102.000000000,-0.064721876,-0.238008735,-0.147310887,0.021971562,-0.008307890,0.094920158,-0.031613094,0.063877351,-0.063979977,0.068011093,0.032929861,-0.101212781,-0.075559445,-0.115242066,-20.505103063,5.393813841,0.805807699,0.036103144,0.181042933,-0.155419380,2.529086636,-11.404189110,0.702896435,-12.332897025,-0.083802860,0.022175322
1720790244.087841,0.194590878,-1.327825991,-0.772591160,-0.128778249,-0.013230307,0.523238431,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.064925499,-0.248780676,-0.117029256,0.024365272,0.004319830,0.090252232,-0.000310437,0.018828970,-0.021000149,-0.128778249,-0.013230307,0.143767168,0.194901315,-1.346654960,-0.751591011,0.000000000,-0.000000000,0.379471263,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.066032288,-0.236013854,-0.097820847,-0.000000000,0.000000000,0.049603067,742000000.000000000,102.000000000,-0.066937755,-0.232929533,-0.152433508,0.030262584,-0.008218980,0.083507483,-0.024995077,0.054717621,-0.055052338,0.078440484,0.010501329,-0.110252562,-0.304927163,-0.197539900,-19.437073195,5.503093687,0.802312430,-0.015765317,0.054312880,-0.046625814,2.929084382,-11.276146740,1.110113237,-12.200124074,-0.025140858,-0.319281964
1720790244.187692,0.201126820,-1.352410024,-0.785167560,-0.125104650,-0.013261009,0.530830598,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.065229245,-0.246722439,-0.123143573,0.033024780,0.001081033,0.080220843,-0.000573265,0.017682503,-0.023839223,-0.125104650,-0.013261009,0.146376795,0.201700085,-1.370092527,-0.761328337,0.000000000,-0.000000000,0.384453803,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.067401080,-0.234867122,-0.097507531,-0.000000000,0.000000000,0.049758701,842000000.000000000,102.000000000,-0.068624314,-0.228901634,-0.156301709,0.037482341,-0.009563044,0.071880673,-0.019304441,0.044610577,-0.043593108,0.074070441,-0.006258051,-0.114463436,-0.143662145,-0.276507046,-18.098425055,5.619283680,0.747141576,-0.131577361,-0.337500208,0.192226578,3.364098566,-11.136146006,1.634898107,-11.961275722,0.385787813,-0.696953065
1720790244.289778,0.207725280,-1.376864473,-0.798250927,-0.120954652,-0.013589910,0.537345925,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.065757996,-0.245197872,-0.128526641,0.038957416,-0.001977999,0.069673541,-0.000890088,0.016481451,-0.027244773,-0.120954652,-0.013589910,0.147908580,0.208615368,-1.393345924,-0.771006154,0.000000000,-0.000000000,0.389437345,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.068627307,-0.233233915,-0.096996982,-0.000000000,0.000000000,0.049812403,944000000.000000000,102.000000000,-0.069894946,-0.226002195,-0.158791474,0.042909625,-0.011513692,0.061499537,-0.014685757,0.033679247,-0.030506288,0.060212120,-0.015531951,-0.107006981,0.035252769,-0.482189446,-16.468856370,5.705819120,0.653406424,-0.217119911,-0.556013014,0.292189152,3.799669932,-10.917164059,2.230449683,-11.581811926,0.794732391,-1.017848667
1720790244.391468,0.214475239,-1.401736706,-0.811784740,-0.116423459,-0.014339424,0.542762776,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.066050646,-0.244251157,-0.131437103,0.042783651,-0.005737125,0.058076526,-0.001171012,0.014679568,-0.031159424,-0.116423459,-0.014339424,0.148340945,0.215646252,-1.416416274,-0.780625316,0.000000000,-0.000000000,0.394421831,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.068839352,-0.228296106,-0.095112954,-0.000000000,0.000000000,0.049150976,46000000.000000000,103.000000000,-0.071086004,-0.224097858,-0.159841236,0.046002615,-0.013363186,0.053840522,-0.012579654,0.023172755,-0.016356138,0.039290041,-0.017352188,-0.084663963,0.274723852,-0.875379728,-14.546780452,5.743481527,0.540211062,-0.235486150,-0.479893365,0.087656746,4.226006279,-10.575958793,2.859307313,-11.056135252,1.121653017,-1.196656551
1720790244.491386,0.221227094,-1.426416142,-0.825469120,-0.111650997,-0.015323401,0.547995157,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.066151451,-0.242644024,-0.133343540,0.045587283,-0.008473922,0.053331454,-0.001564736,0.012889436,-0.035282103,-0.111650997,-0.015323401,0.148587950,0.222791830,-1.439305578,-0.790187017,0.000000000,-0.000000000,0.399407206,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.069690087,-0.225572291,-0.094153400,-0.000000000,0.000000000,0.048958654,146000000.000000000,103.000000000,-0.071917532,-0.222546672,-0.159401847,0.047573159,-0.014697422,0.049012812,-0.009480462,0.017597218,-0.001891426,0.022565251,-0.014362182,-0.058530534,0.228793692,-1.137355341,-12.336187284,5.718356001,0.426310316,-0.213403645,-0.143968009,0.026297024,4.639627922,-10.078985980,3.488168439,-10.384997664,1.295750339,-1.149225376
1720790244.592297,0.227803950,-1.450324671,-0.839083611,-0.106881658,-0.016169486,0.552712328,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.065883430,-0.240152911,-0.135304501,0.047061554,-0.008464768,0.049019640,-0.002247260,0.011692000,-0.039390839,-0.106881658,-0.016169486,0.148318908,0.230051210,-1.462016671,-0.799692773,0.000000000,-0.000000000,0.404393420,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.071722687,-0.226649341,-0.094786309,-0.000000000,0.000000000,0.049591095,246000000.000000000,103.000000000,-0.072435760,-0.220877803,-0.157464246,0.048816218,-0.015339495,0.046884941,-0.006471728,0.016961247,0.012995782,0.015470992,-0.008803164,-0.032454259,0.393206118,-0.961167062,-9.846482847,5.630263459,0.329779902,-0.165198641,-0.043190403,0.007889107,5.053689983,-9.413205079,4.098727241,-9.585694992,1.196080487,-0.777333148
1720790244.693097,0.234288072,-1.473950799,-0.852588493,-0.101962604,-0.017289941,0.557600299,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.065153881,-0.237428766,-0.135125524,0.048551847,-0.010382614,0.048921688,-0.003135443,0.010602379,-0.043444089,-0.101962604,-0.017289941,0.148219874,0.237423515,-1.484553177,-0.809144404,0.000000000,-0.000000000,0.409380425,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.073122943,-0.225750344,-0.094597311,-0.000000000,0.000000000,0.049786361,346000000.000000000,103.000000000,-0.072868214,-0.219068275,-0.154050699,0.050513432,-0.015032715,0.047113414,-0.004968702,0.017755070,0.027793559,0.016521794,-0.000493490,-0.008136962,0.788886849,-0.675720219,-7.156512617,5.494080189,0.260197766,-0.048064943,-0.012957121,-0.394161756,5.476402351,-8.609876153,4.680541813,-8.703580627,0.737035858,-0.233199944
1720790244.793785,0.240729427,-1.497340501,-0.865766235,-0.096809665,-0.018255642,0.562600371,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.064635647,-0.234956548,-0.132781850,0.050636124,-0.009874691,0.049677009,-0.004178462,0.009578957,-0.047222220,-0.096809665,-0.018255642,0.148232196,0.244907889,-1.506919458,-0.818544015,0.000000000,-0.000000000,0.414368175,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.074327498,-0.224289070,-0.094176473,-0.000000000,0.000000000,0.049850156,446000000.000000000,103.000000000,-0.073184056,-0.217466355,-0.149262868,0.052566036,-0.013835193,0.049403290,-0.003701502,0.016539960,0.041852887,0.019324765,0.008234609,0.013588042,0.651487163,-0.767143417,-4.390964868,5.322918670,0.220227842,0.077695061,0.321036111,-0.922179982,5.896056717,-7.715081301,5.215757523,-7.787697807,0.221110757,-0.069959983
1720790244.894036,0.247202795,-1.520531343,-0.878442445,-0.091395469,-0.018938197,0.568026685,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.064704270,-0.232822857,-0.128568027,0.053090216,-0.007740292,0.052887297,-0.005300702,0.008589223,-0.050548470,-0.091395469,-0.018938197,0.148670058,0.252503497,-1.529120566,-0.827893975,0.000000000,-0.000000000,0.419356627,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.075467508,-0.222694472,-0.093702663,-0.000000000,0.000000000,0.049874211,546000000.000000000,103.000000000,-0.073232201,-0.216321763,-0.143271414,0.054521342,-0.011908569,0.054185367,-0.001447469,0.012974134,0.054496042,0.019484572,0.015956750,0.037550952,0.746493908,-1.219008966,-1.708438658,5.123941064,0.202953994,0.184691440,0.767019869,-1.583676840,6.277777857,-6.785067282,5.677855473,-6.879004707,0.066333227,-0.020987995
1720790244.994290,0.253772168,-1.543535681,-0.890478964,-0.085880477,-0.019286343,0.574134696,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.065396893,-0.230877223,-0.122826041,0.054532007,-0.004759109,0.058622267,-0.006437366,0.007626506,-0.053282069,-0.085880477,-0.019286343,0.149788955,0.260209534,-1.551162187,-0.837196895,0.000000000,-0.000000000,0.424345741,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.076582508,-0.221099690,-0.093231236,-0.000000000,0.000000000,0.049886062,646000000.000000000,103.000000000,-0.072923129,-0.215663937,-0.136305978,0.055769013,-0.009502951,0.061757880,0.001729269,0.008497020,0.065106867,0.014579071,0.021626353,0.064272878,1.242479405,-1.647962063,0.759516993,4.901217711,0.206880221,0.329348363,1.320599055,-2.345428956,6.592790532,-5.859390631,6.040012243,-6.013895150,0.019899968,0.390003854
